X_distance_m,Y_altitude_m
0.0,1633.04
1.001,1637.35
2.002,1647.12
3.003,1658.88
4.004,1672.33
5.005,1676.2
6.006,1675.74
7.007,1679.32
8.008,1680.22
9.009,1681.11
10.01,1681.94
11.011,1681.6
12.012,1681.77
13.013,1684.34
14.014,1685.5
15.015,1685.5
16.016,1685.56
17.017,1684.83
18.018,1686.91
19.019,1684.39
20.02,1684.18
21.021,1686.12
22.022,1684.45
23.023,1685.95
24.024,1685.95
25.025,1685.57
26.026,1685.56
27.027,1686.64
28.028,1685.9
29.029,1686.93
30.03,1688.73
31.031,1689.51
32.032,1689.51
33.033,1689.78
34.034,1697.14
35.035,1697.88
36.036,1698.41
37.038,1698.72
38.039,1698.63
39.04,1701.66
40.041,1708.11
41.042,1708.11
42.043,1717.21
43.044,1719.87
44.045,1722.74
45.046,1720.62
46.047,1722.81
47.048,1722.72
48.049,1721.07
49.05,1721.07
50.051,1719.58
51.052,1718.77
52.053,1719.36
53.054,1720.11
54.055,1719.68
55.056,1720.46
56.057,1720.12
57.058,1719.69
58.059,1719.69
59.06,1719.52
60.061,1721.43
61.062,1721.8
62.063,1720.84
63.064,1722.44
64.065,1723.0
65.066,1723.69
66.067,1723.69
67.068,1728.07
68.069,1729.94
69.07,1730.1
70.071,1732.05
71.072,1732.82
72.073,1732.73
73.074,1733.77
74.075,1734.15
75.076,1734.83
76.077,1736.47
77.078,1740.1
78.079,1742.85
79.08,1743.28
80.081,1744.4
81.082,1746.31
82.083,1746.86
83.084,1747.03
84.085,1747.54
85.086,1748.21
86.087,1748.69
87.088,1749.58
88.089,1749.58
89.09,1750.43
90.091,1751.18
91.092,1751.6
92.093,1751.7
93.094,1752.33
94.095,1752.72
95.096,1752.81
96.097,1752.72
97.098,1752.76
98.099,1753.32
99.1,1753.83
100.101,1764.0
101.102,1754.63
102.103,1768.05
103.104,1780.34
104.105,1787.86
105.106,1787.86
106.107,1783.72
107.108,1776.28
108.109,1787.86
109.11,1778.58
110.111,1776.05
111.113,1778.26
112.114,1777.39
113.115,1785.24
114.116,1785.24
115.117,1790.64
116.118,1794.95
117.119,1801.13
118.12,1802.23
119.121,1801.85
120.122,1801.06
121.123,1800.3
122.124,1800.3
123.125,1799.84
124.126,1799.58
125.127,1799.4
126.128,1799.28
127.129,1798.84
128.13,1798.56
129.131,1798.17
130.132,1797.55
131.133,1797.48
132.134,1796.86
133.135,1796.46
134.136,1795.92
135.137,1795.96
136.138,1795.48
137.139,1794.98
138.14,1794.32
139.141,1794.32
140.142,1793.77
141.143,1792.95
142.144,1792.45
143.145,1791.89
144.146,1791.84
145.147,1791.49
146.148,1791.2
147.149,1790.49
148.15,1790.46
149.151,1789.88
150.152,1789.2
151.153,1788.85
152.154,1788.66
153.155,1788.21
154.156,1787.65
155.157,1787.14
156.158,1787.14
157.159,1786.39
158.16,1785.73
159.161,1785.07
160.162,1784.7
161.163,1784.7
162.164,1784.29
163.165,1783.89
164.166,1783.7
165.167,1783.62
166.168,1783.29
167.169,1783.03
168.17,1782.69
169.171,1782.53
170.172,1782.39
171.173,1782.34
172.174,1781.95
173.175,1781.66
174.176,1781.53
175.177,1781.15
176.178,1780.86
177.179,1780.41
178.18,1780.41
179.181,1779.86
180.182,1779.61
181.183,1779.4
182.184,1779.31
183.185,1778.89
184.187,1778.57
185.188,1778.09
186.189,1777.55
187.19,1777.55
188.191,1777.32
189.192,1777.24
190.193,1776.77
191.194,1776.6
192.195,1776.04
193.196,1775.68
194.197,1775.34
195.198,1775.34
196.199,1774.87
197.2,1774.4
198.201,1774.04
199.202,1773.94
200.203,1773.52
201.204,1773.2
202.205,1772.87
203.206,1772.54
204.207,1772.37
205.208,1772.29
206.209,1772.0
207.21,1771.57
